permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
DB-2019-00115,2019-03-26,150000,Addition / Alteration,Fraser C D Strachan,Dwelling Uses,2019, V5N 2J3
DB-2018-03709,2019-03-27,980337.5,New Building,JRXL Developments Ltd,Dwelling Uses,2019, V6P 1W6
DB-2018-03924,2019-03-27,703212.5,New Building,Powers Construction Inc,Dwelling Uses,2019, V5Z 1X2
DB-2017-06304,2019-03-28,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5X 1E4
DB-2018-02567,2019-03-28,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2019, V6N 2Y9
DB-2018-03460,2019-03-28,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2019, V5R 2P6
BP-2018-05350,2019-03-29,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2019, V6N 2N3
BP-2018-05743,2019-03-29,15000,Demolition / Deconstruction,Reshmail Singh Sidhu,Dwelling Uses,2019, V5X 1N4
BP-2019-00229,2019-03-29,5000,Salvage and Abatement,Avion-Multiplex Construction Inc,Dwelling Uses,2019, V5L 4R7
DB-2018-03290,2019-03-29,697000,New Building,Tyko Development Ltd,Dwelling Uses,2019, V5M 2M3
DB-2018-05453,2019-03-29,161000,New Building,HBD Homes Ltd,Dwelling Uses,2019, V5T 2H9
BP-2019-00958,2019-04-01,220000,Addition / Alteration,Murray Wystrach Construction Inc,Dwelling Uses,2019, V6C 3P8
BP-2019-01169,2019-04-01,80000,Addition / Alteration,A W Kennedy Construction Inc,Dwelling Uses,2019, V6A 1E7
DB-2018-03050,2019-04-01,691000,New Building,Liwa Enterprises Ltd,Dwelling Uses,2019, V5X 2L1
DB-2018-04001,2019-04-01,1118500,New Building,Vantac Management Ltd,Dwelling Uses,2019, V6P 2A1
DB-2018-06217,2019-04-01,201211.46,New Building,Koko Construction Ltd.,Dwelling Uses,2019, V5Y 3J3
BP-2018-03141,2019-04-02,700000,Addition / Alteration,A M J Holding and Construction Ltd,Service Uses,2019, V5K 2A1
BP-2019-01097,2019-04-02,60000,Addition / Alteration,Solid General Contractors Inc,Dwelling Uses,2019, V6E 3T1
DB-2018-03404,2019-04-02,697500,New Building,0949351 BC Ltd,Dwelling Uses,2019, V5P 3N8
DB-2018-06148,2019-04-02,755870,New Building,Clay Construction Inc,Dwelling Uses,2019, V6S 1Y2
BP-2019-00117,2019-04-03,70000,Addition / Alteration,Ndevor Custom Homes Inc,Office Uses,2019, V6B 6E4
BP-2019-00211,2019-04-03,38000,Addition / Alteration,Mainland Office Environments,Office Uses,2019, V6C 0B4
BP-2019-00641,2019-04-03,20000,Addition / Alteration,Heritage Circle Installations Ltd,Dwelling Uses,2019, V5Z 3Y4
DB-2018-05921,2019-04-03,104250,New Building,Toms Investment Group Inc,Dwelling Uses,2019, V5R 1V3
DB-2018-06135,2019-04-03,877500,New Building,Ravi Construction Ltd,Dwelling Uses,2019, V5P 4A1
DB-2018-06136,2019-04-03,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V5P 4A1
BP-2018-06598,2019-04-04,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5K 4H1
BP-2019-00729,2019-04-04,400000,Addition / Alteration,Deborah Lewin & Nilton Tavares,Retail Uses,2019, V7Y 1K8
DB-2018-05114,2019-04-04,181500,New Building,Multani & Caldeira Developments Inc,Dwelling Uses,2019, V5Y 1Z7
DB-2018-06085,2019-04-05,713370,New Building,Grandmark Holdings Ltd,Dwelling Uses,2019, V5X 1L2
DB-2018-05926,2019-04-08,218772.5,New Building,Metro-City Projects Inc,Dwelling Uses,2019, V5S 3J4
DB-2018-05312,2019-04-08,725000,New Building,Sea-Pat Construction Inc,Dwelling Uses,2019, V5K 1G1
DB-2018-06030,2019-04-08,15000,Demolition / Deconstruction,Bela Construction Ltd,Dwelling Uses,2019, V6P 5N4
DB-2018-06690,2019-04-08,138750,New Building,RICHTOWN CONSTRUCTION LTD,Dwelling Uses,2019, V5P 1S8
DB-2019-00516,2019-04-08,870000,Addition / Alteration,PR Pomeroy Restoration & Construction Ltd,Dwelling Uses,2019, V6H 1A7
BP-2019-00480,2019-04-09,195000,Addition / Alteration,David Mitchell Co Ltd,Office Uses,2019, V5V 1K2
BP-2019-00881,2019-04-09,101800,Addition / Alteration,Fusion Project Management Ltd,Office Uses,2019, V5Z 4J7
DB-2019-01048,2019-04-09,100000,Addition / Alteration,Matthew Donald Arne Glavind,Dwelling Uses,2019, V6R 1J1
BP-2019-01111,2019-04-10,150000,Addition / Alteration,Aura Office Environments Inc,Office Uses,2019, V6C 3A8
DB-2018-04306,2019-04-10,15000,Demolition / Deconstruction,Jewel Mini Excavating Ltd,Dwelling Uses,2019, V5X 2K3
DB-2018-05610,2019-04-10,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2019, V5K 4C8
BP-2019-00839,2019-04-11,4500,Addition / Alteration,Marino General Contracting Ltd,Dwelling Uses,2019, V6L 2B7
BP-2019-01274,2019-04-11,80000,Addition / Alteration,Gibraltar Holdings Ltd,Office Uses,2019, V5Z 1K1
DB-2018-06427,2019-04-11,207450,New Building,Montage Development Ltd,Dwelling Uses,2019, V5R 4S4
BP-2019-01301,2019-04-12,225000,Addition / Alteration,Altek Construction Ltd,Office Uses,2019, V5Z 1H1
DB-2018-00215,2019-04-12,700000,New Building,EHY Properties Inc,Dwelling Uses,2019, V5X 2C9
BP-2018-05627,2019-05-13,15000,Demolition / Deconstruction,Fleck Contracting Ltd,Dwelling Uses,2019, V5Z 2Z1
BP-2019-01403,2019-05-13,200000,Addition / Alteration,Etro Construction Limited,Institutional Uses,2019, V6J 2B3
BP-2019-01841,2019-05-13,45000,Addition / Alteration,Equitas Projects Ltd,Service Uses,2019, V6A 1Z7
DB-2018-03017,2019-05-13,1059567.5,New Building,Ryben Holdings Ltd,Dwelling Uses,2019, V6P 1A4
DB-2018-03018,2019-05-13,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2019, V6P 1A4
BP-2018-04295,2019-05-14,25000,Addition / Alteration,Rezcom Construction Ltd,Manufacturing Uses,2019, V5L 1K6
BP-2018-05441,2019-05-14,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2019, V6P 4L9
BP-2019-01660,2019-05-14,300000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2019, V6C 1B4
BP-2019-01840,2019-05-14,175000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2019, V6C 1B4
DB-2018-04643,2019-05-14,858807.5,New Building,Modern Styles Home Ltd,Dwelling Uses,2019, V5N 1E9
DB-2018-04880,2019-05-14,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2019, V5X 2M9
DB-2018-05445,2019-05-14,607500,New Building,Totem Developments Ltd,Dwelling Uses,2019, V5P 3N4
DB-2018-05962,2019-05-14,15000,Demolition / Deconstruction,Satkul Development Ltd,Dwelling Uses,2019, V6P 1X7
DB-2018-06478,2019-05-14,782682.5,New Building,CIS Homes Ltd,Dwelling Uses,2019, V5R 1M1
DB-2019-00399,2019-05-14,375150,New Building,Bradner Homes Ltd,Dwelling Uses,2019, V5N 1H2
BP-2019-01563,2019-05-15,123000,Addition / Alteration,TC Courtco Signature Contracting Inc,Institutional Uses,2019, V5N 4E2
BP-2019-01702,2019-05-15,12000,Addition / Alteration,Matra Construction,Transportation and Storage Uses,2019, V5X 3A2
BP-2019-01835,2019-05-15,75000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2019, V6C 3B6
BP-2019-01969,2019-05-15,60000,Addition / Alteration,Matra Construction,Office Uses,2019, V6Z 2A9
DB-2018-05831,2019-05-15,421750,New Building,David N Yonge,Dwelling Uses,2019, V5V 3S4
DB-2018-06076,2019-05-15,220472.5,New Building,Nisha Construction Inc,Dwelling Uses,2019, V5X 1W1
BP-2018-04398,2019-05-16,15000,Demolition / Deconstruction,J & R Excavation & Demolition Ltd.,Dwelling Uses,2019, V6R 1G3
BP-2018-06613,2019-05-16,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2019, V5R 4P8
DB-2018-03659,2019-05-16,777500,New Building,Apple Construction Ltd,Dwelling Uses,2019, V5L 2J1
DB-2018-06244,2019-05-16,200190,New Building,Metro-City Projects Inc,Dwelling Uses,2019, V5Y 2Y6
DB-2019-00887,2019-05-16,627255,New Building,JBI Development Ltd,Dwelling Uses,2019, V5N 3B3
BP-2018-06654,2019-05-17,15000,Demolition / Deconstruction,GR8 DEMOLITION & EXCAVATION LTD,Dwelling Uses,2019, V5V 4T9
DB-2018-01310,2019-05-17,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5Y 2B5
DB-2018-04113,2019-05-17,948360,New Building,Xin Tu,Dwelling Uses,2019, V6S 1H1
DB-2018-04685,2019-05-17,976500,New Building,Five River Holdings Ltd,Dwelling Uses,2019, V5P 2C1
DB-2018-05634,2019-05-17,15000,Demolition / Deconstruction,Daniel Murphy,Dwelling Uses,2019, V6R 4S9
DB-2018-05740,2019-05-17,15000,Demolition / Deconstruction,CANTON EXCAVATING LTD.,Dwelling Uses,2019, V5R 1L3
DB-2018-06597,2019-05-17,612500,New Building,88 Homes Ltd,Dwelling Uses,2019, V5K 4H1
DB-2018-06600,2019-05-17,162000,New Building,88 Homes Ltd,Dwelling Uses,2019, V5K 4H1
DB-2019-00618,2019-05-17,224500,New Building,Axium Development Ltd,Dwelling Uses,2019, V5X 1J6
BP-2018-05481,2019-05-21,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V5M 2Y7
BP-2019-00787,2019-05-21,15000,Demolition / Deconstruction,Van-City Excavating Ltd,Dwelling Uses,2019, V5S 1P6
DB-2018-02613,2019-05-21,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2019, V5L 2J2
DB-2018-04190,2019-05-21,15000,Demolition / Deconstruction,BigCity Excavation Ltd,Dwelling Uses,2019, V6S 1S7
DB-2018-06325,2019-05-21,894500,New Building,JWIN Homes Ltd,Dwelling Uses,2019, V5K 2G3
DB-2018-06705,2019-05-21,618250,New Building,0901193 BC Ltd,Dwelling Uses,2019, V5X 1W1
DB-2018-06708,2019-05-21,110500,New Building,0901193 BC Ltd,Dwelling Uses,2019, V5X 1W1
DB-2019-00119,2019-05-21,664500,New Building,Kevin H Y Ng,Dwelling Uses,2019, V5Y 2C3
DB-2019-01100,2019-05-21,157250,New Building,EHY Properties Inc,Dwelling Uses,2019, V1V 1V1
BP-2018-04585,2019-05-22,960000,Addition / Alteration,R&M VANCOUVER CONSTRUCTION CO LTD,Dwelling Uses,2019, V6K 3V3
BP-2019-00573,2019-05-23,243000,Addition / Alteration,JLK Projects Ltd,Dwelling Uses,2019, V6G 2P7
DB-2018-06191,2019-05-23,235000,New Building,Royal Columbia Development Corp.,Dwelling Uses,2019, V6T 1C2
DB-2018-06407,2019-05-23,15000,Demolition / Deconstruction,New West Excavating & Demolition Ltd,Dwelling Uses,2019, V5X 1W5
DB-2018-06485,2019-05-23,1017450,New Building,KC Development Ltd,Dwelling Uses,2019, V5R 5S2
DB-2019-01062,2019-05-23,35000,Addition / Alteration,Golden Coast Construction Ltd,Dwelling Uses,2019, V6N 3A3
BP-2018-02756,2019-05-24,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V6N 1E6
BP-2019-01902,2019-05-24,30000,Addition / Alteration,BC Coastal Projects Ltd.,Office Uses,2019, V6Z 2H2
DB-2018-04039,2019-05-24,305000,New Building,Big Tree Construction Ltd,Dwelling Uses,2019, V6M 3P3
DB-2018-05134,2019-05-24,75000,Addition / Alteration,A W Kennedy Construction Inc,Dwelling Uses,2019, V5N 1K6
DB-2018-06196,2019-05-24,1093250,New Building,Lucern Constrution Ltd,Dwelling Uses,2019, V5S 3H4
DB-2018-06199,2019-05-24,197000,New Building,Lucern Constrution Ltd,Dwelling Uses,2019, V5S 3H4
DB-2019-01058,2019-05-24,1146580,New Building,JBI Development Ltd,Dwelling Uses,2019, V6N 3J7
BP-2019-00188,2019-05-27,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2019, V6M 2B3
BP-2019-01970,2019-05-27,200000,Addition / Alteration,Eyford Construction Ltd,Office Uses,2019, V6C 1B4
BP-2019-01974,2019-05-27,200000,Addition / Alteration,Eyford Construction Ltd,Office Uses,2019, V6C 1B4
DB-2018-03544,2019-05-27,578750,New Building,Tyko Development Ltd,Dwelling Uses,2019, V5R 1H3
DB-2018-03545,2019-05-27,15000,Demolition / Deconstruction,Van-City Excavating Ltd,Dwelling Uses,2019, V5R 1H3
DB-2018-06255,2019-05-27,922500,New Building,Incircle Business Development Inc,Dwelling Uses,2019, V6P 2K2
DB-2018-06365,2019-05-27,971175,New Building,1002882 BC Ltd,Dwelling Uses,2019, V5V 4J4
DB-2019-00146,2019-05-27,163500,New Building,Metro-City Projects Inc,Dwelling Uses,2019, V5Z 1V5
DB-2019-00187,2019-05-27,1025250,New Building,CB Developments & Designing Ltd,Dwelling Uses,2019, V6M 2B3
BP-2019-01625,2019-05-28,9000,Addition / Alteration,Ram Construction Inc,Retail Uses,2019, V5N 2R6
BP-2019-01705,2019-05-28,2000,Addition / Alteration,1175850 BC Ltd,Retail Uses,2019, V5R 5H4
BP-2019-02083,2019-05-28,47500,Addition / Alteration,Action Electric Ltd,Dwelling Uses,2019, V6G 3C8
DB-2018-03775,2019-05-28,95000,Addition / Alteration,Stylux Design and Construction Ltd,Dwelling Uses,2019, V6J 1G7
DB-2019-00519,2019-05-28,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5X 2G4
DB-2018-06384,2019-05-28,804362.5,New Building,Homeline Construction & Renovation Ltd,Dwelling Uses,2019, V5L 4T4
DB-2018-06385,2019-05-28,15000,Demolition / Deconstruction,Homeline Construction & Renovation Ltd,Dwelling Uses,2019, V5L 4T4
DB-2019-00036,2019-05-28,516000,New Building,Evergreen World General Contracting Ltd,Dwelling Uses,2019, V5K 3A6
DB-2019-00039,2019-05-28,516000,New Building,Evergreen World General Contracting Ltd,Dwelling Uses,2019, V5K 3A6
DB-2019-00109,2019-05-28,734087.5,New Building,Bright Coast Homes Ltd,Dwelling Uses,2019, V5R 3J7
BP-2019-00325,2019-05-29,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V6M 2Z2
BP-2019-01795,2019-05-29,900000,Addition / Alteration,Erasto A Franco Neto,Dwelling Uses,2019, V6C 1C8
DB-2018-00116,2019-05-29,1428697.5,New Building,Adisa Homes Ltd,Dwelling Uses,2019, V6R 4C1
DB-2019-00857,2019-05-29,15000,Demolition / Deconstruction,S K Excavating Ltd,Dwelling Uses,2019, V5W 3L5
DB-2019-00899,2019-05-29,8000,Addition / Alteration,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2019, V6R 2V5
DB-2019-01350,2019-05-29,20000,Addition / Alteration,Vix Construction & Design Corporation,Dwelling Uses,2019, V5P 2Y8
BP-2019-01146,2019-05-30,200000,Addition / Alteration,TotalPlan Inc,Office Uses,2019, V6Z 2K5
BP-2019-01887,2019-05-30,30000,Addition / Alteration,Valmart Door Sales Ltd,Dwelling Uses,2019, V5T 0B9
DB-2018-02130,2019-05-30,569250,New Building,Talent Construction Ltd,Dwelling Uses,2019, V5V 2G8
DB-2018-05340,2019-05-30,632250,New Building,Ravi Construction Ltd,Dwelling Uses,2019, V5K 2G7
DB-2018-05346,2019-05-30,176250,New Building,Ravi Construction Ltd,Dwelling Uses,2019, V5K 2G7
DB-2019-01293,2019-05-30,165000,New Building,Fixright Construction Ltd,Dwelling Uses,2019, V5K 1G9
DB-2018-04605,2019-05-31,80000,New Building,Smithwood Builders Inc,Dwelling Uses,2019, V6N 1T6
BP-2019-01583,2019-06-03,175000,Addition / Alteration,Battiston Homes Ltd,Dwelling Uses,2019, V6R 2A3
DB-2018-03549,2019-06-03,704550,New Building,C K W Construction Ltd,Dwelling Uses,2019, V5M 1P9
BP-2019-00453,2019-06-04,1500,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2019, V5R 1P7
DB-2018-05651,2019-06-04,672250,New Building,DREAMHOUSE CONSTRUCTION LTD.,Dwelling Uses,2019, V5P 1E8
DB-2018-06300,2019-06-04,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2019, V5Y 2B4
DB-2018-06391,2019-06-04,15000,Demolition / Deconstruction,Jen Mei Enterprises Ltd,Dwelling Uses,2019, V6K 2Y2
DB-2018-06711,2019-06-04,695877.5,New Building,Averra Developments Inc,Dwelling Uses,2019, V5W 1C5
DB-2017-04225,2019-06-05,1280788,New Building,Golden Chateau Building Materials Inc,Dwelling Uses,2019, V6M 3N7
DB-2018-05400,2019-06-05,614475,New Building,Alessandro Ciampi,Dwelling Uses,2019, V5K 2M2
DB-2018-06165,2019-06-05,608250,New Building,Tamber Development Inc.,Dwelling Uses,2019, V5X 3C7
DB-2019-01900,2019-06-05,49000,Addition / Alteration,Lockwell Construction Ltd,Dwelling Uses,2019, V5V 1H7
BP-2019-01373,2019-06-06,44385,Demolition / Deconstruction,MWL Demolition Ltd,Transportation and Storage Uses,2019, V5L 1P5
BP-2019-01567,2019-06-06,200000,Addition / Alteration,David Mitchell Co Ltd,Office Uses,2019, V6Z 2N7
BP-2019-01723,2019-06-06,15000,Addition / Alteration,Kingstar Building Ltd.,Dwelling Uses,2019, V5S 3J5
BP-2019-01991,2019-06-06,60000,Addition / Alteration,K Chen Construction Management Inc,Dwelling Uses,2019, V6G 2P9
DB-2018-03705,2019-06-06,628000,New Building,0901193 BC Ltd,Dwelling Uses,2019, V5V 3A2
DB-2019-01019,2019-06-07,172875,New Building,My House Design/Build Team Ltd,Dwelling Uses,2019, V5M 2M5
DB-2019-01162,2019-06-07,139050,New Building,RAUNEK CONSTRUCTION LTD,Dwelling Uses,2019, V5P 4H7
BP-2018-04465,2019-06-10,15000,Demolition / Deconstruction,Assertive Excavating & Demolition Ltd,Dwelling Uses,2019, V5K 4B8
BP-2019-02169,2019-06-10,25000,Addition / Alteration,Syncor Solutions Limited,Office Uses,2019, V6E 3Z3
DB-2018-02516,2019-06-10,765407.5,New Building,Woodbine Builders Ltd,Dwelling Uses,2019, V5X 1A6
DB-2019-01017,2019-06-10,197750,New Building,Custom View Homes Ltd,Dwelling Uses,2019, V5P 3J4
BP-2019-00654,2019-06-11,3649000,Addition / Alteration,PCL CONSTRUCTORS WESTCOAST INC,Office Uses,2019, V6B 5R4
BP-2019-02020,2019-06-11,10000,Addition / Alteration,Ben & Derek Contracting Management Ltd,Office Uses,2019, V6C 1V5
DB-2018-04661,2019-06-11,1283075,New Building,Canstone Development Ltd,Dwelling Uses,2019, V6M 1A6
DB-2019-00070,2019-06-11,1201490,New Building,CCK Homes Ltd,Dwelling Uses,2019, V5S 3K8
DB-2019-00216,2019-06-11,750000,Addition / Alteration,Lepp Construction Inc,Dwelling Uses,2019, V6K 1M1
DB-2019-00428,2019-06-11,838535,New Building,Medallion Homes Inc,Dwelling Uses,2019, V5T 2T6
BP-2019-01244,2019-06-12,40000,Addition / Alteration,My House Design/Build Team Ltd,Dwelling Uses,2019, V6K 1W5
BP-2019-02013,2019-06-12,85000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2019, V6J 1X1
BP-2019-02229,2019-06-12,12000,Addition / Alteration,STEVEN BRUCE,Dwelling Uses,2019, V5T 2M7
DB-2018-06652,2019-06-12,576000,New Building,Astec Development Ltd,Dwelling Uses,2019, V5V 4T9
BP-2019-02281,2019-06-13,350000,Addition / Alteration,ConVerge Construction Ltd,Service Uses,2019, V5Z 1J9
DB-2019-01151,2019-06-13,165000,New Building,Saint Construction Management Ltd,Dwelling Uses,2019, V5K 1C9
BP-2019-01997,2019-06-14,120000,Addition / Alteration,J2 Project Management Inc,Retail Uses,2019, V6B 6A1
BP-2019-02264,2019-06-14,30000,Addition / Alteration,Solid General Contractors Inc,Dwelling Uses,2019, V6E 3T1
BP-2019-02410,2019-06-14,20000,Addition / Alteration,New Image Projects Inc.,Office Uses,2019, V6C 1H2
DB-2018-04020,2019-06-14,171402.5,New Building,Bold Construction Ltd,Dwelling Uses,2019, V5Y 2Z7
DB-2018-05328,2019-06-14,732750,New Building,Sprucewood Homes Inc,Dwelling Uses,2019, V5Y 2C2
DB-2018-05331,2019-06-14,168000,New Building,Sprucewood Homes Inc,Dwelling Uses,2019, V1V 1V1
DB-2019-00521,2019-06-14,181500,New Building,Sunrick Development Ltd,Dwelling Uses,2019, V5X 2G4
DB-2019-02022,2019-06-14,20000,Addition / Alteration,Milani Drainage & Plumbing Supplies Ltd,Dwelling Uses,2019, V6A 4B6
BP-2019-01869,2019-06-17,1500000,Addition / Alteration,Fusion Project Management Ltd,Retail Uses,2019, V1V 1V1
BP-2019-02097,2019-06-17,27000,Addition / Alteration,Cleverworks Contacting Ltd,Dwelling Uses,2019, V5L 2T6
BP-2019-02206,2019-06-17,10000,Addition / Alteration,Concrete Cashmere Ltd,Office Uses,2019, V6B 5C6
DB-2018-05887,2019-06-17,15000,Demolition / Deconstruction,TX CONTRACTING LTD,Dwelling Uses,2019, V6L 2T8
DB-2019-01082,2019-06-17,103800,New Building,Seven Homes Ltd.,Dwelling Uses,2019, V6R 2R6
BP-2018-04615,2019-06-18,150000,Addition / Alteration,Arrowmark Contracting Limited,Dwelling Uses,2019, V6K 1S3
BP-2019-01941,2019-06-18,30000,Addition / Alteration,Griffin Restoration Services Inc,Dwelling Uses,2019, V6G 1H2
BP-2019-02294,2019-06-18,20000,Addition / Alteration,DCBC Renovations Co Ltd,Service Uses,2019, V6G 2L9
BP-2019-02500,2019-06-18,25000,Addition / Alteration,Zrtec CM Enterprises Ltd,Service Uses,2019, V6E 3P3
DB-2018-05259,2019-06-18,896500,New Building,Jasvir Construction Ltd,Dwelling Uses,2019, V5X 1E7
DB-2018-05364,2019-06-18,15000,Demolition / Deconstruction,GLOBAL EARTHWORKS LTD.,Dwelling Uses,2019, V5P 1P2
BP-2019-02082,2019-06-19,70000,Addition / Alteration,Watermark Projects Ltd,Retail Uses,2019, V5Z 2E2
BP-2019-02136,2019-06-19,25000,Addition / Alteration,Kindred Construction Ltd,Manufacturing Uses,2019, V5Y 3E1
BP-2019-02195,2019-06-19,12000,Addition / Alteration,Suad Prljaca,Dwelling Uses,2019, V5Z 3N2
DB-2018-05956,2019-06-19,896950,New Building,Arix Developments Inc,Dwelling Uses,2019, V5Z 1Z9
DB-2019-00692,2019-06-19,916500,New Building,Sukhdev Singh Hayer,Dwelling Uses,2019, V5S 1S2
DB-2019-00693,2019-06-19,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2019, V5S 1S2
BP-2019-00347,2019-06-20,15000,Demolition / Deconstruction,WEST DEMOLITION SERVICE LTD,Dwelling Uses,2019, V6N 3K3
DB-2018-06098,2019-06-20,623525,New Building,Mistral Homes Inc,Dwelling Uses,2019, V5K 2Y3
DB-2018-06099,2019-06-20,15000,Demolition / Deconstruction,Trust Excavation & Demolition Ltd,Dwelling Uses,2019, V5K 2Y3
DB-2018-06101,2019-06-20,142500,New Building,Mistral Homes Inc,Dwelling Uses,2019, V5K 2W5
BP-2018-06049,2019-06-21,4800,Addition / Alteration,AMPM Custom Homes Inc,Dwelling Uses,2019, V5W 2E7
BP-2019-02279,2019-06-21,170000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2019, V5Z 1C5
DB-2019-02497,2019-06-21,81075,Addition / Alteration,Matra Construction,Office Uses,2019, V5Y 4A6
DB-2019-02527,2019-06-21,500,Addition / Alteration,Fusion Project Management Ltd,"Cultural/Recreational Uses,Office Uses",2019, V5Z 3X7
DB-2018-01877,2019-06-24,1399932.5,New Building,Royal Golden Construction Group Limited,Dwelling Uses,2019, V6P 5M7
DB-2018-06238,2019-06-24,160920,New Building,CB Developments & Designing Ltd,Dwelling Uses,2019, V5M 1X3
DB-2018-06239,2019-06-24,724992.5,New Building,CB Developments & Designing Ltd,Dwelling Uses,2019, V5M 1X3
DB-2019-00342,2019-06-24,15000,Demolition / Deconstruction,Trans Pacific Homes Inc,Dwelling Uses,2019, V5N 5G6
DB-2019-00344,2019-06-24,213500,New Building,Trans Pacific Homes Inc,Dwelling Uses,2019, V5N 5G6
BP-2019-02300,2019-06-25,8000,Addition / Alteration,Level One Construction Ltd,Dwelling Uses,2019, V5V 1P8
BP-2019-02392,2019-06-25,5000,Addition / Alteration,Solaris Properties Inc,Dwelling Uses,2019, V6S 1Y4
BP-2018-05677,2019-06-26,12000,Addition / Alteration,Nofziger Construction Inc,Dwelling Uses,2019, V5Z 1T1
BP-2019-02469,2019-06-26,5000,Addition / Alteration,Benchmark Westcoast Designs Inc,Dwelling Uses,2019, V5K 5G5
DB-2018-04571,2019-06-26,726037.5,New Building,C-Best Construction Ltd,Dwelling Uses,2019, V5K 3Z5
DB-2018-04575,2019-06-26,160840,New Building,C-Best Construction Ltd,Dwelling Uses,2019, V5K 3Z5
DB-2019-01267,2019-06-26,864212.5,New Building,Octave Homes Inc,Dwelling Uses,2019, V5P 2H3
DB-2019-01270,2019-06-26,225000,New Building,Octave Homes Inc,Dwelling Uses,2019, V5P 2H3
DB-2019-02465,2019-06-26,8495,Addition / Alteration,Milani Drainage & Plumbing Supplies Ltd,Dwelling Uses,2019, V6E 1T4
BP-2019-00886,2019-06-27,54000,Addition / Alteration,Alair Homes,Institutional Uses,2019, V5Z 2G7
BP-2019-01508,2019-06-27,1500,Addition / Alteration,Pagliaro Projects,Office Uses,2019, V6E 3S7
BP-2019-01722,2019-06-27,80000,Addition / Alteration,Precision Restorations Inc,Dwelling Uses,2019, V5Y 3R4
BP-2019-02113,2019-06-27,2300,Addition / Alteration,Willy's Flooring Sanding Services & Special Finishes,Retail Uses,2019, V6G 1C7
BP-2019-02186,2019-06-27,129011,Addition / Alteration,Canadian Turner Construction Company Ltd,Office Uses,2019, V6B 0M3
BP-2019-02454,2019-06-27,110000,Addition / Alteration,Hive and Bench Fine Woodworking Ltd,Dwelling Uses,2019, V6R 1K5
DB-2018-06246,2019-06-27,1045372.5,New Building,BML MANAGEMENT,Dwelling Uses,2019, V6R 3V6
DB-2018-06496,2019-06-27,1200600,New Building,M Cheng & Associates Inc,Dwelling Uses,2019, V5S 1E8
BP-2019-02456,2019-06-28,70000,Addition / Alteration,David Adam Bowes,Dwelling Uses,2019, V5X 1E7
BP-2019-02461,2019-06-28,21000,Addition / Alteration,Epic Spaces Inc,Office Uses,2019, V6E 4A2
BP-2019-02513,2019-06-28,300000,Addition / Alteration,Canadian Turner Construction Company Ltd,Office Uses,2019, V6J 1C7
DB-2018-04401,2019-06-28,220160,New Building,Teragon Developments & Construction Inc,Dwelling Uses,2019, V6R 1G3
DB-2019-00604,2019-06-28,65000,Addition / Alteration,WINNING DEVELOPMENT LTD,Dwelling Uses,2019, V5P 2L1
BP-2019-02145,2019-07-02,400000,Addition / Alteration,Recon Genuine Construction Ltd,Office Uses,2019, V6S 2E9
DB-2019-00969,2019-07-02,201222.5,New Building,GSH Development,Dwelling Uses,2019, V5P 1J2
DB-2019-01822,2019-07-02,176075,New Building,M Cheng & Associates Inc,Dwelling Uses,2019, V5M 1X6
DB-2019-02636,2019-07-02,4500,Addition / Alteration,Urbanscape Project Ltd,Dwelling Uses,2019, V5M 2K5
BP-2018-06423,2019-07-03,1398000,New Building,Canada Hd Int'l Investment Group Corp,Dwelling Uses,2019, V6N 2R9
