permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
BP-2016-00628,2017-04-07,15000,Demolition / Deconstruction,East West Excavating Ltd,Dwelling Uses,2017, V6S 1Y4
BP-2017-01079,2017-04-07,19900,Demolition / Deconstruction,RDM Enterprises Ltd,Office Uses,2017, V5J 5H4
DB-2016-01621,2017-04-07,15000,Demolition / Deconstruction,Octiscapes Landscaping Ltd,Dwelling Uses,2017, V5V 3M2
DB-2016-03362,2017-04-07,855500,New Building,Rishi Constructions Limited,Dwelling Uses,2017, V5P 1T3
DB-2016-03363,2017-04-07,15000,Demolition / Deconstruction,PTL Contracting Ltd,Dwelling Uses,2017, V5P 1T3
BP-2017-00776,2017-04-10,60000,Addition / Alteration,Donald B Connolly,Office Uses,2017, V6J 3G9
BP-2017-01381,2017-04-10,30000,Addition / Alteration,Level One Construction Ltd,Dwelling Uses,2017, V6J 1P5
DB-2016-02515,2017-04-11,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2017, V6R 2A7
DB-2016-02919,2017-04-11,125000,New Building,Dhinsa Construction Ltd,Dwelling Uses,2017, V6P 3P4
BP-2017-01087,2017-04-12,20000,Addition / Alteration,Fusion Project Management Ltd,Office Uses,2017, V6A 1B5
DB-2017-01910,2017-04-12,235000,New Building,Py Chue Construction Ltd,Dwelling Uses,2017, V5S 1B2
BP-2016-03475,2017-04-13,2018750,New Building,Marine Star Homes Corporation,Dwelling Uses,2017, V6P 1L3
DB-2016-03781,2017-04-13,15000,Demolition / Deconstruction,JVT EXCAVATING & DEMOLITION LTD,Dwelling Uses,2017, V6P 1L3
DB-2016-04357,2017-04-13,15000,Demolition / Deconstruction,Metro Contracting LTD,Dwelling Uses,2017, V5R 3T4
BP-2016-01907,2017-04-18,15000,Addition / Alteration,Fina Electrical Systems Ltd,Dwelling Uses,2017, V6M 3Z7
BP-2017-00371,2017-04-18,1350000,Outdoor Uses (No Buildings Proposed),Wales McLelland Construction Company (1988) Ltd,"Transportation and Storage Uses,Wholesale Uses",2017, A0A 0A0
BP-2017-00911,2017-04-18,994000,Addition / Alteration,New City Contracting Ltd,"Dwelling Uses,Office Uses",2017, V6Z 2E8
BP-2017-01722,2017-04-18,10000,Addition / Alteration,All Spaces Project Management Ltd,Office Uses,2017, V6E 2M6
BP-2017-01621,2017-04-19,48000,Addition / Alteration,VGC Vancouver General Contractors Inc,Dwelling Uses,2017, V5Y 2W6
BP-2019-03456,2020-03-05,200000,Addition / Alteration,Triple Eight Construction Co Ltd,"Dwelling Uses,Institutional Uses,Retail Uses",2020, V5X 4L1
DB-2020-00389,2020-03-04,150000,Addition / Alteration,Palacio Construction Ltd,Dwelling Uses,2020, V6R 1P9
BP-2019-04794,2020-03-05,15000,Demolition / Deconstruction,SOURCE ONE EXCAVATING LTD,Dwelling Uses,2020, V5L 2J1
BP-2020-00582,2020-03-05,30000,Addition / Alteration,Level One Construction Ltd,Dwelling Uses,2020, V5S 4K4
DB-2019-04905,2020-03-05,15000,Demolition / Deconstruction,AKAL DEMOLITION & EXCAVATING LTD,Dwelling Uses,2020, V5X 1K9
BP-2019-05444,2020-03-06,15000,Demolition / Deconstruction,Hans Demolition and Excavating Ltd.,Dwelling Uses,2020, V5W 3B5
BP-2019-03542,2020-03-09,15000,Demolition / Deconstruction,Trust Excavation & Demolition Ltd,Dwelling Uses,2020, V5V 4X8
